lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Experimental Pathology Facility;39E;mouse;MHC II;M5/114.15.2;Miltenyi;130-102-186;;PE;FFPE;in use;1000;0.1;no;959.9;17
Experimental Pathology Facility;40E;mouse;CD31;EPR17259;Abcam;ab305267;;AF488;FFPE;in use;100;5.7;good;24.34;18
Experimental Pathology Facility;41E;mouse;CD31;EPR17259;Abcam;ab225883;;APC (in-house conj);FFPE;in use;100;11.2;good;99.25;19
Experimental Pathology Facility;42E;mouse;NK1.1;PK136;ThermoFischer;MA1-70100;;PE (in-house conj);FFPE;in use;250;3.6;ok;223.76;20
Experimental Pathology Facility;52E;mouse;NK1.1;PK136;Biolegend;108708;;PE;FFPE;in use;1000;0.2;ok;860.25;21
Experimental Pathology Facility;43E;mouse;Epcam;EPR20532-222;Abcam;ab313667;;AF488;FFPE;in use;100;6;good;59.19;22
Experimental Pathology Facility;44E;mouse;Epcam;EPR20532-222;Abcam;ab232539;;APC (in-house conj);FFPE;in use;100;11.2;good;100;23
Experimental Pathology Facility;45E;mouse;E-cadherin;24E_10;bioconcept/Cell Signaling;96743SF;;APC (in-house conj);FFPE;in use;100;13;good;63.86;24
Experimental Pathology Facility;46E;mouse;CD8;EPR21769;Abcam;ab237367;;FITC;FFPE;in use;100;5.8;no;100;25
Experimental Pathology Facility;55E;mouse;CD8a;D8A8Y;BioConcept;28512S;;AF647;FFPE;in use;100;7;no;68;26
Experimental Pathology Facility;47E;mouse;CD44;IM7;Miltenyi;130-102-606;;PE;FFPE;in use;1000;0.1;good;935.058;27
Experimental Pathology Facility;48E;mouse;p21;EPR362;Abcam;ab282187;;AF488;FFPE;in use;100;6.2;good;73.76;28
Experimental Pathology Facility;54E01;mouse;p21;EPR18021;Abcam;AB232512;;FITC (in house conj);FFPE;none;100;9.6;good;2.25;29
Experimental Pathology Facility;54E02;mouse;p21;EPR18021;Abcam;AB232512;;FITC (in house conj);FFPE;in use;100;9.6;good;15;29
Experimental Pathology Facility;56E;mouse;p21;EPR18021;Abcam;ab237265;;AF647;FFPE;in use;100;5.9;good;88;30
Experimental Pathology Facility;49E;mouse;Fibronectin;EPR19241-46;Abcam;ab237287;;AF647;FFPE;in use;100;5.7;good;63.19;31
