lab_name,tube_number,species,antigen_target,clone,company,order_number,lot_number,fluorochrome,processing,status,volume_on_arrival,chf/ul,quality_color
Calcinotto,62C3,human,cKIT (CD117),YR145,abcam,ab216450,,APC (in-house conj),FFPE,,100,11.2,good
Calcinotto,70C,human,CCR4,Polyclonal rabbit IgG,abcam,ab216560-1003,,primary,FFPE,,100,5.5,no
Calcinotto,71C,human,IFNg,EPR21704,abcam,ab231301,,FITC (in house conj),FFPE,,100,11.2,ok
Calcinotto,73C,human,TBET,4B10,Santa Cruz,sc-21749 PE,,PE,FFPE,,1000,0.5,good
Calcinotto,74C,human,Granzyme B,EPR8260,abcam,ab225185,,AF647,FFPE,,100,6.3,not tested
Calcinotto,75C,human,Perforin,5B10,abcam,ab89821,1123866-1,primary,FFPE,,500,0.9,good
Calcinotto,76C,human,UAP1,Polyclonal rabbit IgG,abcam,ab95949,,primary,FFPE,,50,10,good
Calcinotto,77C,human,COX2,(D5H5) Rabbit,cell signaling,12282T,,primary,FFPE,,20,10.9,good
Calcinotto,80C,human,COX2,(D5H5) Rabbit,cell signaling,81707S,,AF647,FFPE,,100,6.3,good
Calcinotto,78C,human,IL-1b,(3A6) Mouse,cell signaling,12242T,,primary,FFPE,,20,9.8,good
Calcinotto,81C,human,IL-1b,(3A6) Mouse,cell signaling,27989SF,,APC (in-house conj),FFPE,,100,11.2,good
Calcinotto,79C,human,CD45,2B11 and PD7/26,Novus Biologicals,NBP2-34528AF647,,AF647,FFPE,,100,6.3,good
Calcinotto,52C,human,p53,REA609,Miltenyi,130-131-265,,APC,FFPE,,200,1.5,no
Calcinotto,53C,human,S100A9/MRP14,REA859,Miltenyi,130-114-516,,PE,FFPE,,200,1.5,good
Calcinotto,54C0,human/mouse/rat,PCNA,REA858,Miltenyi,130-114-511,,FITC,FFPE,,200,1.2,good
Calcinotto,54C1,human/mouse/rat,PCNA,REA858,Miltenyi,130-114-511,,FITC,FFPE,,200,1.2,good
Calcinotto,55C,human,CD68,REA1306,Miltenyi,130-128-345,,PE,FFPE,,200,1.5,good
Calcinotto,56C,human,Laminin,polyclonal rabbit,bioTechne,NB300-144PE,,PE,FFPE,,100,7.1,no
Calcinotto,82C,human,IL-8 antibody,EPR19358-37,Abcam,ab242515,,primary,FFPE,,100,7.5,not tested
Calcinotto,57C,mouse,Cytokeratin 8,EP1628Y,Abcam,AB209297,,PE,FFPE,,100,5.2,good
Calcinotto,58C,mouse,Cytokeratin 5,EP1601Y,Abcam,AB224984,,APC,FFPE,,100,4.7,good
Calcinotto,59C,mouse,CD117,polyclonal goat,R and D bioTechne,AF1356,,APC (in-house conj),FFPE,,100,9.9,good
Calcinotto,63C,mouse Human,PDGF Receptor alpha,rabbit IgG,Cell Signaling,32641SF,,APC (in-house conj),FFPE,,100,12.2,good
Calcinotto,64C,mouse Human,TOP2A,rabbit IgG,ThermoFischer,24641-1-AP,,APC (in-house conj),FFPE,,100,7.1,no
Calcinotto,66C,mouse,CD45,D3F8Q,Cell Signaling,81143S,,AF647,FFPE,,100,7,good
Calcinotto,67C,mouse Human,Beta Actin,2F1-1,BioLegend,643810,,AF647,FFPE,,200,1.1,no
Calcinotto,68C,mouse Human,Collagen 1,EPR24331-53,abcam,ab309248,,AF488,FFPE,,100,6.6,good
Calcinotto,69C,human,CD34,REA1164,Miltenyi,130-120-520,,PE,FFPE,,60,1.7,ok
Calcinotto,60C,human,CXCR2 (CD182),REA208,Miltenyi,130-120-133,,APC,FFPE,,60,1.9,good
Calcinotto,61C,human,CD117,REA787,Miltenyi,130-111-670,,PE,FFPE,,60,1.7,no
